
======================================================
CATEGORIA XTREAM: ABERTOS (Total: 64 canais)
======================================================
  • Nome na API: 'Tv Verdes Mares Cariri' | Normalizado: 'TV VERDES MARES CARIRI' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Verdes Mares Cariri' | Normalizado: 'TV VERDES MARES CARIRI' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Verdes Mares Cariri' | Normalizado: 'TV VERDES MARES CARIRI' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Verdes Mares Fortaleza' | Normalizado: 'TV VERDES MARES FORTALEZA' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Verdes Mares Fortaleza' | Normalizado: 'TV VERDES MARES FORTALEZA' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Verdes Mares Fortaleza' | Normalizado: 'TV VERDES MARES FORTALEZA' | EPG ID da lista: 'br#globo-s-o-paulo-hd'

======================================================
CATEGORIA XTREAM: SBT (Total: 27 canais)
======================================================
  • Nome na API: '+sbt Novelas' | Normalizado: 'SBT NOVELAS' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: '+sbt Silvio Santos' | Normalizado: 'SBT SILVIO SANTOS' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: '+sbt Tv Zyn' | Normalizado: 'SBT TV ZYN' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT' | Normalizado: 'SBT' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT' | Normalizado: 'SBT' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT' | Normalizado: 'SBT' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT' | Normalizado: 'SBT' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT Fullhd' | Normalizado: 'SBT FULLHD' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT MG Tv Alterosa' | Normalizado: 'SBT MG TV ALTEROSA' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT Para' | Normalizado: 'SBT PARA' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT Parana' | Normalizado: 'SBT PARANA' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT Piaui' | Normalizado: 'SBT PIAUI' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT RJ' | Normalizado: 'SBT RJ' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT RJ' | Normalizado: 'SBT RJ' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT RS' | Normalizado: 'SBT RS' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT Recife Tv Jornal' | Normalizado: 'SBT RECIFE TV JORNAL' | EPG ID da lista: 'br#sbt-s-o-paulo'
